Date,Primary Type,Description,Arrest,X Coordinate,Y Coordinate,Latitude,Longitude,Month,Hour,Hour_Only,Part of Day,geometry
2022-07-31 19:09:00,THEFT,RETAIL THEFT,False,1164808.0,1908052.0,41.903304304,-87.670064675,7,19:09:00,19,Evening,POINT (1164808 1908052)
2022-07-31 19:00:00,THEFT,OVER $500,False,1162267.0,1898416.0,41.876915862,-87.67966792700001,7,19:00:00,19,Evening,POINT (1162267 1898416)
2022-07-31 19:00:00,THEFT,$500 AND UNDER,False,1163178.0,1872540.0,41.805890345,-87.67704899200001,7,19:00:00,19,Evening,POINT (1163178 1872540)
2022-07-31 19:00:00,THEFT,$500 AND UNDER,False,1157608.0,1881050.0,41.829357756,-87.697246739,7,19:00:00,19,Evening,POINT (1157608 1881050)
2022-07-31 19:00:00,THEFT,POCKET-PICKING,False,1178694.0,1901250.0,41.884333364,-87.619266937,7,19:00:00,19,Evening,POINT (1178694 1901250)
2022-07-31 19:00:00,THEFT,$500 AND UNDER,False,1173426.0,1891217.0,41.856920783,-87.63890953399999,7,19:00:00,19,Evening,POINT (1173426 1891217)
2022-07-31 18:50:00,THEFT,OVER $500,True,1178380.0,1896611.0,41.871610861,-87.62056144,7,18:50:00,18,Evening,POINT (1178380 1896611)
2022-07-31 18:30:00,THEFT,POCKET-PICKING,False,1178722.0,1901251.0,41.884335468,-87.61916408799999,7,18:30:00,18,Evening,POINT (1178722 1901251)
2022-07-31 18:30:00,THEFT,POCKET-PICKING,False,1178722.0,1901251.0,41.884335468,-87.61916408799999,7,18:30:00,18,Evening,POINT (1178722 1901251)
2022-07-31 18:29:00,THEFT,$500 AND UNDER,False,1157141.0,1862431.0,41.778274202,-87.69946395,7,18:29:00,18,Evening,POINT (1157141 1862431)
2022-07-31 18:15:00,THEFT,$500 AND UNDER,False,1175696.0,1895352.0,41.86821682,-87.6304532,7,18:15:00,18,Evening,POINT (1175696 1895352)
2022-07-31 18:05:00,THEFT,POCKET-PICKING,False,1169606.0,1898816.0,41.877856954,-87.652709808,7,18:05:00,18,Evening,POINT (1169606 1898816)
